id,Armed Forces size,CPI,Gasoline Price,GDP,Minimum wage,Out of pocket health expenditure,Tax revenue (),Total tax rate,Unemployment rate
1,323000.00,149.9,0.70,19101353833.00,0.43,78.40,45199.00,71.40,45242.00
2,9000.00,119.05,1.36,15278077447.00,44938.00,56.90,18.60,36.60,12.33
3,317000.00,151.36,0.28,169988236398.00,0.95,45227.00,37.20,24381.00,11.70
4,2000.00,null,1.51,3154057987.00,6.63,36.40,null,null,null
5,117000.00,261.73,0.97,94635415870.00,0.71,33.40,45189.00,18172.00,6.89
6,0.00,113.81,0.99,1727759259.00,44989.00,24.30,16.50,43.00,null
7,105000.00,232.75,44936.00,449663446954.00,3.35,17.60,45209.00,106.30,9.79
8,49000.00,129.18,0.77,13672802158.00,0.66,81.60,20.90,22.60,16.99
9,58000.00,119.8,0.93,1392680589329.00,13.59,19.60,23.00,47.40,45073.00
10,21000.00,118.06,44946.00,446314739528.00,null,17.90,25.40,51.40,4.67
11,82000.00,156.32,0.56,39207000000.00,0.47,78.60,13.00,40.70,5.51
12,1000.00,116.22,0.92,12827000000.00,45071.00,27.80,14.80,33.80,10.36
13,19000.00,117.59,0.43,38574069149.00,null,45224.00,45036.00,13.80,0.71
14,221000.00,179.68,44938.00,302571254131.00,0.51,71.80,8.80,33.40,45035.00
15,1000.00,134.09,1.81,5209000000.00,44998.00,45.20,27.50,35.60,10.33
16,155000.00,null,0.60,63080457023.00,1.49,34.50,14.70,53.30,4.59
17,32000.00,117.11,1.43,529606710418.00,45230.00,17.60,24.00,55.40,5.59
18,2000.00,105.68,44939.00,1879613600.00,1.65,22.70,26.30,45230.00,6.41
19,12000.00,110.71,0.72,14390709095.00,0.39,40.50,10.80,48.90,44980.00
20,6000.00,167.18,0.98,2446674101.00,0.32,19.80,16.00,35.30,2.34
21,71000.00,148.32,0.71,40895322865.00,1.36,25.90,17.00,83.70,3.50
22,11000.00,104.9,44931.00,20047848435.00,44930.00,28.60,20.40,23.70,18.42
23,9000.00,149.75,0.71,18340510789.00,0.29,45076.00,19.50,45224.00,18.19
24,730000.00,167.4,44928.00,1839758040766.00,1.53,28.30,14.20,24016.00,45268.00
25,8000.00,36220.00,0.37,13469422941.00,null,6.00,null,8.00,45181.00
26,31000.00,114.42,44937.00,86000000000.00,1.57,47.70,20.20,28.30,4.34
27,11000.00,106.58,0.98,15745810235.00,0.34,13424.00,15.00,41.30,45103.00
28,31000.00,182.11,44947.00,3012334882.00,null,45218.00,13.60,41.20,1.43
29,27000.00,111.61,0.93,58792205642.00,0.36,36.00,11.80,18537.00,3.32
30,1000.00,110.5,44928.00,1981845741.00,0.68,23.20,45219.00,37.50,45285.00
31,191000.00,127.63,0.90,27089389787.00,null,59.40,45216.00,45222.00,0.68
32,24000.00,118.65,44929.00,38760467033.00,0.35,69.70,12.80,57.70,3.38
33,72000.00,116.76,0.81,1736425629520.00,9.51,14.60,12.80,24.50,5.56
34,8000.00,186.86,1.41,2220307369.00,0.37,39.60,8.60,73.30,3.68
35,35000.00,117.7,0.78,11314951343.00,0.60,56.40,null,63.50,1.89
36,122000.00,131.91,44929.00,282318159745.00,2.00,32.20,18.20,34.00,45116.00
37,2695000.00,125.08,0.96,19910000000000.00,0.87,32.40,9.40,59.20,4.32
38,481000.00,140.95,0.68,323802808108.00,44949.00,18.30,14.40,71.20,9.71
39,2000.00,103.62,null,1185728677.00,0.71,74.80,null,219.60,4.34
40,12000.00,124.74,0.97,10820591131.00,0.88,43.80,9.00,54.30,9.47
41,10000.00,128.85,0.98,61773944174.00,1.84,21.50,13.60,58.30,11.85
42,18000.00,109.82,44952.00,60415553039.00,2.92,15.20,22.00,20.50,6.93
43,76000.00,null,1.40,100023000000.00,0.05,null,null,null,1.64
44,16000.00,102.51,44949.00,24564647935.00,null,43.90,24.50,22.40,45134.00
45,23000.00,116.48,44943.00,246489245495.00,3.00,14.80,14.90,17076.00,1.93
46,134000.00,133.85,1.49,47319624204.00,0.18,37.40,10.70,50.70,45040.00
47,15000.00,110.35,1.55,348078018464.00,null,13.70,32.40,23.80,4.91
48,13000.00,120.25,1.32,3318716359.00,null,20.40,null,37.90,45229.00
49,2000.00,103.87,null,596033333.00,1.48,28.40,45221.00,32.60,null
50,71000.00,135.5,44933.00,88941298258.00,0.40,43.70,13.00,48.80,5.84
51,41000.00,124.14,0.61,107435665000.00,2.46,43.70,null,34.40,3.97
52,836000.00,288.57,0.40,303175127598.00,null,62.00,12.50,44.40,10.76
53,42000.00,111.23,0.83,27022640000.00,0.50,27.90,45217.00,36.40,45027.00
54,1000.00,124.35,null,11026774945.00,44931.00,72.00,45087.00,79.40,6.43
55,202000.00,null,2.00,2065001626.00,null,52.40,null,83.70,45060.00
56,6000.00,122.14,44940.00,31386949981.00,44999.00,22.80,20.90,47.80,45057.00
57,2000.00,null,null,3791304348.00,null,45260.00,28.60,null,null
58,138000.00,143.86,0.75,96107662398.00,null,37.80,7.50,37.70,44965.00
59,4000.00,132.3,0.82,5535548972.00,44954.00,21.40,24.20,11963.00,45026.00
60,25000.00,112.33,1.45,268761201365.00,null,19.90,20.80,36.60,6.59
61,307000.00,110.05,1.39,2715518274227.00,45246.00,6.80,24.20,60.70,8.43
62,7000.00,122.19,0.92,16657960228.00,1.46,25.90,45219.00,17441.00,20.00
63,1000.00,172.73,44944.00,1763819048.00,0.13,20.30,9.40,48.40,45175.00
64,26000.00,133.61,0.76,17743195770.00,0.05,57.30,21.70,9.90,14.40
65,180000.00,112.85,1.39,3845630030824.00,9.99,12.50,11.50,48.80,44989.00
66,16000.00,268.36,0.92,66983634224.00,0.27,13424.00,12.60,55.40,4.33
67,146000.00,101.87,1.54,209852761469.00,4.46,35.50,26.20,51.90,17.24
68,2000.00,107.43,44938.00,1228170370.00,null,57.00,19.40,47.80,null
69,43000.00,142.92,0.79,76710385880.00,1.60,55.80,10.60,35.20,2.46
70,13000.00,262.95,0.90,13590281809.00,null,54.50,10.80,69.30,45046.00
