id,Year,Cantril ladder score
2,2022,1.859
2,2021,2.4038
2,2020,2.5229
2,2019,2.5669
2,2018,3.2033
2,2017,3.6315
2,2016,3.794
2,2015,3.36
2,2014,3.575
2,2011,4.25835
3,2022,5.2773
3,2021,5.1988
3,2020,5.1174
3,2019,4.8827
3,2018,4.7186
3,2017,4.586
3,2016,4.644
3,2015,4.655
3,2014,4.959
3,2011,5.133704
38,2022,5.3291
38,2021,5.1223
38,2020,4.8871
38,2019,5.0051
38,2018,5.2113
38,2017,5.2946
38,2016,5.872
38,2015,6.355
38,2014,5.605
38,2011,5.367827
5,2017,3.7948
5,2016,3.795
5,2015,3.866
5,2014,4.033
5,2011,4.17838
6,2022,6.0237
6,2021,5.967
6,2020,5.9293
6,2019,5.9747
6,2018,6.0863
6,2017,6.388
6,2016,6.599
6,2015,6.65
6,2014,6.574
6,2011,6.242357
4,2022,5.3417
4,2021,5.3986
4,2020,5.2826
4,2019,4.6768
4,2018,4.5594
4,2017,4.3206
4,2016,4.376
4,2015,4.36
4,2014,4.35
4,2011,4.473529
8,2022,7.0946
8,2021,7.1621
8,2020,7.1835
8,2019,7.2228
8,2018,7.228
8,2017,7.2721
8,2016,7.284
8,2015,7.313
8,2014,7.284
8,2011,7.344625
7,2022,7.0973
7,2021,7.163
7,2020,7.2678
7,2019,7.2942
7,2018,7.246
7,2017,7.1394
7,2016,7.006
7,2015,7.119
7,2014,7.2
7,2011,7.227316
9,2021,5.1734
9,2020,5.1708
9,2019,5.1648
9,2018,5.2077
9,2017,5.2006
9,2016,5.234
9,2015,5.291
9,2014,5.212
9,2011,4.581938
15,2022,6.1732
15,2021,6.6469
15,2020,6.6469
15,2019,6.2273
15,2018,6.1994
15,2017,6.1051
15,2016,6.087
15,2015,6.218
15,2014,5.96
15,2011,5.567952
11,2022,4.2821
11,2021,5.1555
11,2020,5.0246
11,2019,4.8328
11,2018,4.4558
11,2017,4.5004
11,2016,4.608
11,2015,4.643
11,2014,4.694
11,2011,4.807098
22,2021,5.8215
22,2020,5.5335
22,2019,5.5399
22,2018,5.3225
22,2017,5.4833
22,2016,5.569
22,2015,5.802
22,2014,5.813
22,2011,5.566307
12,2022,6.8591
12,2021,6.805
12,2020,6.834
12,2019,6.8635
12,2018,6.923
12,2017,6.9269
12,2016,6.891
12,2015,6.929
12,2014,6.937
12,2011,7.113178
23,2017,5.9556
23,2016,5.956
23,2015,5.956
23,2011,6.450644
17,2022,4.3737
17,2021,4.6232
17,2020,5.0452
17,2019,5.216
17,2018,4.8832
17,2017,4.1414
17,2016,3.657
17,2015,3.484
17,2014,3.34
17,2011,3.492997
20,2018,5.0821
20,2017,5.0821
20,2016,5.011
20,2015,5.196
20,2014,5.253
18,2022,5.6843
18,2021,5.6003
18,2020,5.7159
18,2019,5.7475
18,2018,5.7793
18,2017,5.7519
18,2016,5.823
18,2015,5.822
18,2014,5.89
18,2011,5.633493
10,2022,5.6325
10,2021,5.768
10,2020,5.8131
10,2019,5.6741
10,2018,5.3865
10,2017,5.1294
10,2016,5.182
10,2015,5.163
10,2014,4.949
10,2011,4.857435
21,2022,3.4353
21,2021,3.4711
21,2020,3.4665
21,2019,3.4789
21,2018,3.4884
21,2017,3.5898
21,2016,3.766
21,2015,3.974
21,2014,4.332
21,2011,4.580534
19,2022,6.1246
19,2021,6.2928
19,2020,6.3301
19,2019,6.3756
19,2018,6.2998
19,2017,6.4189
19,2016,6.635
19,2015,6.952
19,2014,6.983
19,2011,6.697499
14,2022,5.4661
14,2021,5.3709
14,2020,5.2655
14,2019,5.1015
14,2018,5.011
14,2017,4.9331
14,2016,4.714
14,2015,4.217
14,2014,4.218
14,2011,3.889474
13,2022,4.6376
13,2021,4.6705
13,2020,4.8338
13,2019,4.7687
13,2018,4.5868
13,2017,4.4244
13,2016,4.032
13,2015,3.739
13,2014,3.587
13,2011,3.926028
16,2020,3.7753
16,2019,3.7753
16,2018,3.7753
16,2017,2.9045
16,2016,2.905
16,2015,2.905
16,2014,2.905
